groupins for DFSP,Sex,"Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)",Year of diagnosis sebaceous carcinoma,SEER registry,Age-Adjusted Rate,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Rate Ratio,Ratio Lower Confidence Interval,Ratio Upper Confidence Interval,Ratio P-Value,Population
0-19,Male and female,Non-Hispanic White,2000-2021,Greater Georgia,0,0,0,0.03,1, , , , ,21892875
0-19,Male and female,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.17,0, , , , ,2254338
0-19,Male and female,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.16,0, , , , ,2422086
0-19,Male and female,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,1.57,0, , , , ,232788
0-19,Male and female,Non-Hispanic Black,2000-2021,Iowa,0,~,0,0.36,0, , , , ,1007834
0-19,Male and female,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,1.29,0, , , , ,286361
0-19,Male and female,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.19,0, , , , ,1955746
0-19,Male and female,Non-Hispanic Black,2000-2021,Utah,0,~,0,1.1,0, , , , ,333571
0-19,Male and female,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.04,0, , , , ,9198401
0-19,Male and female,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,0.96,0, , , , ,394003
0-19,Male and female,Non-Hispanic Black,2000-2021,Los Angeles,0,~,0,0.07,0, , , , ,5226136
0-19,Male and female,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,1.12,0, , , , ,333344
0-19,Male and female,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.05,0, , , , ,7440869
0-19,Male and female,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.14,0, , , , ,2607920
0-19,Male and female,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.03,0, , , , ,10806371
0-19,Male and female,Non-Hispanic Black,2000-2021,New Jersey,0,~,0,0.05,0, , , , ,7708434
0-19,Male and female,Non-Hispanic Black,2000-2021,Greater Georgia,0,~,0,0.03,0, , , , ,11436884
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,4.75,0, , , , ,78279
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,5.75,0, , , , ,62233
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,22.66,0, , , , ,16153
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,4.86,0, , , , ,75069
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,0.28,0, , , , ,1362465
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,0.85,0, , , , ,441042
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,1.52,0, , , , ,245973
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,8.29,0, , , , ,44422
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,0.38,0, , , , ,969860
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,6.92,0, , , , ,54696
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,2.56,0, , , , ,148865
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,421.45,0, , , , ,1137
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,0.38,0, , , , ,998992
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,9.44,0, , , , ,44324
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,1.84,0, , , , ,205484
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,3.3,0, , , , ,111673
0-19,Male and female,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,4.15,0, , , , ,94900
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.07,0, , , , ,5506788
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,0.41,0, , , , ,890176
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0,~,0,0.07,0, , , , ,5145681
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,0.84,0, , , , ,439783
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,2.35,0, , , , ,160286
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0,~,0,0.12,0, , , , ,3042997
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,0,~,0,0.55,0, , , , ,658720
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0,~,0,0.26,0, , , , ,1409948
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0,~,0,0.1,0, , , , ,3609768
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0,~,0,0.06,0, , , , ,6584496
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,81.2,0, , , , ,4660
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0,~,0,0.03,0, , , , ,12074100
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,0,~,0,0.95,0, , , , ,384226
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,0,~,0,0.8,0, , , , ,457208
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0,~,0,0.08,0, , , , ,4468971
0-19,Male and female,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,0.49,0, , , , ,759942
0-19,Male and female,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0,~,0,0.05,0, , , , ,6696415
0-19,Male and female,Hispanic (All Races),2000-2021,Connecticut,0,~,0,0.09,0, , , , ,3877685
0-19,Male and female,Hispanic (All Races),2000-2021,Hawaii,0,~,0,0.33,0, , , , ,1104828
0-19,Male and female,Hispanic (All Races),2000-2021,Iowa,0,~,0,0.25,0, , , , ,1470830
0-19,Male and female,Hispanic (All Races),2000-2021,New Mexico,0,~,0,0.05,0, , , , ,7069240
0-19,Male and female,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,0.1,0, , , , ,3493721
0-19,Male and female,Hispanic (All Races),2000-2021,Utah,0,~,0,0.11,0, , , , ,3263787
0-19,Male and female,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,0.11,0, , , , ,3322198
0-19,Male and female,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,5.78,0, , , , ,68046
0-19,Male and female,Hispanic (All Races),2000-2021,San Jose-Monterey,0,~,0,0.06,0, , , , ,6462334
0-19,Male and female,Hispanic (All Races),2000-2021,Los Angeles,0,0,0,0.02,1, , , , ,35441770
0-19,Male and female,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,10.44,0, , , , ,34878
0-19,Male and female,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0,0,0,0.01,1, , , , ,62755873
0-19,Male and female,Hispanic (All Races),2000-2021,Kentucky,0,~,0,0.32,0, , , , ,1149739
0-19,Male and female,Hispanic (All Races),2000-2021,Louisiana,0,~,0,0.26,0, , , , ,1371457
0-19,Male and female,Hispanic (All Races),2000-2021,New Jersey,0.01,0.01,0,0.05,1, , , , ,11265881
0-19,Male and female,Hispanic (All Races),2000-2021,Greater Georgia,0,~,0,0.1,0, , , , ,3690903
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,1, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,0, , , , ,0
0-19,Male and female,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.09,0, , , , ,4103918
0-19,Male,Non-Hispanic White,2000-2021,Connecticut,0,~,0,0.06,0, , , , ,6493085
0-19,Male,Non-Hispanic White,2000-2021,Hawaii,0,~,0,0.76,0, , , , ,476721
0-19,Male,Non-Hispanic White,2000-2021,Iowa,0,~,0,0.05,0, , , , ,7739505
0-19,Male,Non-Hispanic White,2000-2021,New Mexico,0,~,0,0.21,0, , , , ,1787134
0-19,Male,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0,~,0,0.04,0, , , , ,8501404
0-19,Male,Non-Hispanic White,2000-2021,Utah,0,~,0,0.04,0, , , , ,8330193
0-19,Male,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0,~,0,0.1,0, , , , ,3628531
0-19,Male,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic White,2000-2021,San Jose-Monterey,0,~,0,0.17,0, , , , ,2263044
0-19,Male,Non-Hispanic White,2000-2021,Los Angeles,0.02,0.02,0,0.09,1, , , , ,5949532
0-19,Male,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,2.25,0, , , , ,167404
0-19,Male,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0,~,0,0.02,0, , , , ,23780449
0-19,Male,Non-Hispanic White,2000-2021,Kentucky,0.01,0.01,0,0.05,1, , , , ,10609590
0-19,Male,Non-Hispanic White,2000-2021,Louisiana,0,~,0,0.05,0, , , , ,7611301
0-19,Male,Non-Hispanic White,2000-2021,New Jersey,0,~,0,0.03,0, , , , ,13798262
0-19,Male,Non-Hispanic White,2000-2021,Greater Georgia,0.01,0.01,0,0.05,1, , , , ,11245602
0-19,Male,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.33,0, , , , ,1146214
0-19,Male,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.31,0, , , , ,1236048
0-19,Male,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,3,0, , , , ,121656
0-19,Male,Non-Hispanic Black,2000-2021,Iowa,0,~,0,0.69,0, , , , ,520871
0-19,Male,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,2.48,0, , , , ,149087
0-19,Male,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.36,0, , , , ,1004272
0-19,Male,Non-Hispanic Black,2000-2021,Utah,0,~,0,2.1,0, , , , ,174274
0-19,Male,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.08,0, , , , ,4646589
0-19,Male,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,1.86,0, , , , ,202662
0-19,Male,Non-Hispanic Black,2000-2021,Los Angeles,0,~,0,0.14,0, , , , ,2653126
0-19,Male,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,2.22,0, , , , ,168723
0-19,Male,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.1,0, , , , ,3827819
0-19,Male,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.28,0, , , , ,1334939
0-19,Male,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.07,0, , , , ,5471710
0-19,Male,Non-Hispanic Black,2000-2021,New Jersey,0,~,0,0.1,0, , , , ,3914759
0-19,Male,Non-Hispanic Black,2000-2021,Greater Georgia,0,~,0,0.06,0, , , , ,5780412
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,9.6,0, , , , ,38731
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,11.39,0, , , , ,31443
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,43.55,0, , , , ,8445
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,9.69,0, , , , ,37555
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,0.55,0, , , , ,685970
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,1.67,0, , , , ,224516
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,3.03,0, , , , ,123739
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,16.6,0, , , , ,22175
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,0.73,0, , , , ,500562
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,13.55,0, , , , ,27893
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,5.16,0, , , , ,74100
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,720.88,0, , , , ,581
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,0.75,0, , , , ,506268
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,18.77,0, , , , ,22285
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,3.63,0, , , , ,103842
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,6.5,0, , , , ,56618
0-19,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,8.08,0, , , , ,48633
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.13,0, , , , ,2821900
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,0.82,0, , , , ,443036
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0,~,0,0.14,0, , , , ,2651366
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,1.67,0, , , , ,220725
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,4.7,0, , , , ,79754
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0,~,0,0.24,0, , , , ,1544267
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,0,~,0,1.09,0, , , , ,334538
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0,~,0,0.5,0, , , , ,720507
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0,~,0,0.2,0, , , , ,1858553
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0,~,0,0.11,0, , , , ,3393971
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,153.05,0, , , , ,2433
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0,~,0,0.06,0, , , , ,6201805
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,0,~,0,1.91,0, , , , ,190173
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,0,~,0,1.56,0, , , , ,234674
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0,~,0,0.16,0, , , , ,2275433
0-19,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,0.97,0, , , , ,386631
0-19,Male,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0,~,0,0.11,0, , , , ,3419512
0-19,Male,Hispanic (All Races),2000-2021,Connecticut,0,~,0,0.18,0, , , , ,1981348
0-19,Male,Hispanic (All Races),2000-2021,Hawaii,0,~,0,0.64,0, , , , ,568569
0-19,Male,Hispanic (All Races),2000-2021,Iowa,0,~,0,0.48,0, , , , ,753586
0-19,Male,Hispanic (All Races),2000-2021,New Mexico,0,~,0,0.1,0, , , , ,3591879
0-19,Male,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,0.2,0, , , , ,1789550
0-19,Male,Hispanic (All Races),2000-2021,Utah,0,~,0,0.22,0, , , , ,1674537
0-19,Male,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,0.21,0, , , , ,1721548
0-19,Male,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,11.13,0, , , , ,35121
0-19,Male,Hispanic (All Races),2000-2021,San Jose-Monterey,0,~,0,0.11,0, , , , ,3305561
0-19,Male,Hispanic (All Races),2000-2021,Los Angeles,0.01,0.01,0,0.03,1, , , , ,18107946
0-19,Male,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,19.54,0, , , , ,18497
0-19,Male,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0,~,0,0.01,0, , , , ,32086678
0-19,Male,Hispanic (All Races),2000-2021,Kentucky,0,~,0,0.6,0, , , , ,598671
0-19,Male,Hispanic (All Races),2000-2021,Louisiana,0,~,0,0.51,0, , , , ,704499
0-19,Male,Hispanic (All Races),2000-2021,New Jersey,0.02,0.02,0,0.1,1, , , , ,5770613
0-19,Male,Hispanic (All Races),2000-2021,Greater Georgia,0,~,0,0.19,0, , , , ,1913469
0-19,Male,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,1, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,0, , , , ,0
0-19,Male,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
0-19,Female,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.09,0, , , , ,3916228
0-19,Female,Non-Hispanic White,2000-2021,Connecticut,0,~,0,0.06,0, , , , ,6167558
0-19,Female,Non-Hispanic White,2000-2021,Hawaii,0,~,0,0.81,0, , , , ,440474
0-19,Female,Non-Hispanic White,2000-2021,Iowa,0,~,0,0.05,0, , , , ,7364124
0-19,Female,Non-Hispanic White,2000-2021,New Mexico,0,~,0,0.23,0, , , , ,1671637
0-19,Female,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0,~,0,0.05,0, , , , ,8045472
0-19,Female,Non-Hispanic White,2000-2021,Utah,0,~,0,0.05,0, , , , ,7947704
0-19,Female,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0,~,0,0.11,0, , , , ,3460157
0-19,Female,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Female,Non-Hispanic White,2000-2021,San Jose-Monterey,0,~,0,0.18,0, , , , ,2138243
0-19,Female,Non-Hispanic White,2000-2021,Los Angeles,0,~,0,0.07,0, , , , ,5635147
0-19,Female,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,2.37,0, , , , ,157307
0-19,Female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0,~,0,0.02,0, , , , ,22394213
0-19,Female,Non-Hispanic White,2000-2021,Kentucky,0,~,0,0.04,0, , , , ,10062152
0-19,Female,Non-Hispanic White,2000-2021,Louisiana,0,~,0,0.05,0, , , , ,7257902
0-19,Female,Non-Hispanic White,2000-2021,New Jersey,0,~,0,0.03,0, , , , ,13037595
0-19,Female,Non-Hispanic White,2000-2021,Greater Georgia,0,~,0,0.04,0, , , , ,10647273
0-19,Female,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.34,0, , , , ,1108124
0-19,Female,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.32,0, , , , ,1186038
0-19,Female,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,3.3,0, , , , ,111132
0-19,Female,Non-Hispanic Black,2000-2021,Iowa,0,~,0,0.74,0, , , , ,486963
0-19,Female,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,2.69,0, , , , ,137274
0-19,Female,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0,~,0,0.38,0, , , , ,951474
0-19,Female,Non-Hispanic Black,2000-2021,Utah,0,~,0,2.3,0, , , , ,159297
0-19,Female,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0,~,0,0.08,0, , , , ,4551812
0-19,Female,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
0-19,Female,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,2,0, , , , ,191341
0-19,Female,Non-Hispanic Black,2000-2021,Los Angeles,0,~,0,0.15,0, , , , ,2573010
0-19,Female,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,2.27,0, , , , ,164621
0-19,Female,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.1,0, , , , ,3613050
0-19,Female,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.29,0, , , , ,1272981
0-19,Female,Non-Hispanic Black,2000-2021,Louisiana,0,~,0,0.07,0, , , , ,5334661
0-19,Female,Non-Hispanic Black,2000-2021,New Jersey,0,~,0,0.1,0, , , , ,3793675
0-19,Female,Non-Hispanic Black,2000-2021,Greater Georgia,0,~,0,0.07,0, , , , ,5656472
0-19,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,9.41,0, , , , ,39548
0-19,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,11.6,0, , , , ,30790
0-19,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,47.42,0, , , , ,7708
0-19,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,9.79,0, , , , ,37514
0-19,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,0.56,0, , , , ,676495
